                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6897,                 2.6801,                 1.8786,                0.82831,                0.67752,                0.80556,                0.48975,                  1.404,                 1.8221,                 1.8084,              0.0004735,              0.0004735,              0.0004735
                      2,                 1.4599,                 1.8767,                 1.6413,                0.82631,                0.82275,                0.84738,                0.54999,                 1.2791,                 1.5245,                 1.5905,             0.00094981,             0.00094981,             0.00094981
                      3,                 1.4076,                 1.6483,                 1.5847,                 0.8777,                 0.8387,                0.89644,                0.54921,                 1.3294,                 1.2047,                 1.5477,               0.001426,               0.001426,               0.001426
                      4,                 1.3453,                 1.5079,                 1.5374,                0.86415,                0.86888,                0.91269,                0.59182,                 1.1944,                  1.014,                 1.4734,              0.0014287,              0.0014287,              0.0014287
                      5,                 1.2963,                 1.3922,                 1.5145,                0.89239,                 0.8532,                0.89818,                0.58659,                 1.1741,                0.97572,                 1.4734,              0.0014284,              0.0014284,              0.0014284
                      6,                 1.3059,                 1.3029,                 1.5114,                0.86499,                0.87359,                0.92052,                0.61212,                 1.1631,                0.86113,                 1.4352,               0.001428,               0.001428,               0.001428
                      7,                 1.2777,                   1.25,                 1.4881,                0.87831,                0.88247,                0.92683,                0.61024,                 1.1616,                0.87068,                 1.4498,              0.0014276,              0.0014276,              0.0014276
                      8,                 1.2353,                 1.1483,                 1.4626,                0.91668,                0.86843,                0.92742,                0.60816,                 1.1991,                0.85608,                 1.4458,              0.0014271,              0.0014271,              0.0014271
                      9,                  1.221,                 1.1254,                 1.4497,                0.88902,                0.89297,                0.91905,                0.59258,                 1.1609,                0.78369,                 1.4238,              0.0014265,              0.0014265,              0.0014265
                     10,                 1.1951,                  1.056,                 1.4161,                0.87641,                0.90456,                0.93381,                0.64486,                 1.0867,                0.75908,                 1.3707,              0.0014259,              0.0014259,              0.0014259
                     11,                 1.1823,                 1.0191,                 1.4053,                0.90636,                0.91145,                0.94474,                0.63735,                 1.1194,                0.73229,                 1.3882,              0.0014251,              0.0014251,              0.0014251
                     12,                 1.1943,                0.99856,                  1.437,                0.90965,                0.89754,                0.95229,                0.65442,                 1.0614,                0.71257,                 1.3769,              0.0014243,              0.0014243,              0.0014243
                     13,                  1.172,                0.98866,                 1.4093,                0.89624,                0.89863,                0.94099,                0.64747,                 1.0991,                 0.7237,                 1.3933,              0.0014234,              0.0014234,              0.0014234
                     14,                 1.1363,                0.95748,                 1.3903,                0.89059,                0.91801,                0.95229,                0.65197,                 1.0823,                0.68713,                 1.3874,              0.0014225,              0.0014225,              0.0014225
                     15,                 1.1565,                0.94567,                 1.3889,                0.91131,                0.91429,                0.96201,                  0.676,                 1.0235,                0.65704,                   1.36,              0.0014214,              0.0014214,              0.0014214
                     16,                 1.1436,                0.92595,                 1.3896,                0.91871,                0.90336,                0.94885,                0.66129,                 1.0613,                0.68316,                 1.3899,              0.0014203,              0.0014203,              0.0014203
                     17,                 1.1331,                0.90446,                 1.3834,                0.89639,                0.90385,                0.93766,                0.65188,                  1.056,                0.67963,                  1.369,              0.0014191,              0.0014191,              0.0014191
                     18,                 1.0974,                 0.8781,                 1.3472,                0.91926,                0.92221,                0.95981,                0.65977,                 1.0557,                0.64042,                 1.3587,              0.0014178,              0.0014178,              0.0014178
                     19,                 1.1151,                0.85418,                 1.3644,                0.90494,                0.93543,                0.96027,                0.65922,                 1.0782,                0.64884,                  1.384,              0.0014165,              0.0014165,              0.0014165
                     20,                 1.1207,                0.88731,                 1.3688,                0.91497,                0.90599,                0.95823,                0.67574,                 1.0382,                0.64714,                 1.3474,               0.001415,               0.001415,               0.001415
                     21,                 1.0886,                0.84719,                  1.358,                0.93464,                0.91637,                0.96699,                0.66415,                 1.0972,                0.63679,                 1.3767,              0.0014135,              0.0014135,              0.0014135
                     22,                  1.098,                0.82872,                 1.3479,                0.92085,                0.93851,                0.96552,                0.66083,                 1.0823,                0.61559,                 1.3931,               0.001412,               0.001412,               0.001412
                     23,                 1.0835,                0.82373,                 1.3461,                0.89659,                0.91872,                0.95485,                0.67639,                 1.0462,                0.65152,                 1.3527,              0.0014103,              0.0014103,              0.0014103
                     24,                 1.0744,                0.83642,                 1.3399,                0.88151,                0.93982,                0.94593,                0.65524,                 1.0865,                0.62285,                 1.3841,              0.0014086,              0.0014086,              0.0014086
                     25,                 1.1142,                0.85598,                 1.3654,                0.89406,                0.92207,                0.94714,                0.62295,                 1.1858,                0.67443,                 1.4487,              0.0014068,              0.0014068,              0.0014068
                     26,                 1.0555,                0.80882,                 1.3205,                0.92315,                0.93565,                0.96195,                0.66647,                 1.0736,                0.62449,                 1.3554,              0.0014049,              0.0014049,              0.0014049
                     27,                 1.0355,                0.78815,                   1.32,                0.93793,                0.91639,                0.96316,                0.67894,                 1.0395,                0.61095,                 1.3595,              0.0014029,              0.0014029,              0.0014029
                     28,                 1.0494,                0.79689,                 1.3163,                0.91339,                0.94863,                0.96392,                0.68612,                0.99915,                0.61261,                  1.332,              0.0014009,              0.0014009,              0.0014009
