                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7622,                 2.7069,                 2.0042,                 0.7456,                0.69918,                0.76228,                0.44185,                 1.5314,                  1.763,                 1.8185,              0.0033221,              0.0033221,              0.0033221
                      2,                 1.5312,                 1.8626,                 1.7904,                0.78886,                0.74576,                0.78702,                0.46543,                 1.4825,                 1.2817,                 1.7443,              0.0066482,              0.0066482,              0.0066482
                      3,                 1.4794,                 1.6085,                 1.7381,                0.77679,                0.74151,                0.78501,                0.46855,                 1.4917,                 1.1037,                 1.6809,              0.0099668,              0.0099668,              0.0099668
                      4,                 1.4261,                 1.4365,                 1.6938,                0.82011,                0.80518,                0.83408,                0.51012,                  1.362,                0.98562,                 1.5679,               0.009967,               0.009967,               0.009967
                      5,                 1.3988,                 1.2864,                 1.6615,                0.87312,                0.82289,                0.87405,                0.55414,                 1.3074,                0.93249,                 1.5288,               0.009967,               0.009967,               0.009967
                      6,                 1.3717,                 1.2071,                 1.6383,                0.81159,                0.83379,                0.87217,                0.53972,                 1.3532,                0.95688,                 1.5284,               0.009956,               0.009956,               0.009956
                      7,                 1.3482,                 1.1491,                 1.6178,                 0.8427,                0.84446,                0.88755,                0.57206,                 1.2741,                 0.8383,                  1.481,               0.009945,               0.009945,               0.009945
                      8,                 1.3206,                 1.1011,                 1.5977,                0.88169,                0.82557,                0.89036,                0.54051,                 1.4033,                0.88913,                 1.5409,               0.009934,               0.009934,               0.009934
                      9,                 1.3027,                  1.058,                 1.5813,                0.85028,                0.83964,                 0.8992,                0.55233,                 1.3431,                0.80334,                 1.5142,               0.009923,               0.009923,               0.009923
                     10,                 1.2766,                 1.0524,                 1.5662,                 0.9317,                0.83222,                0.90754,                0.55535,                  1.382,                0.81965,                 1.5315,               0.009912,               0.009912,               0.009912
                     11,                 1.2785,                 1.0249,                 1.5626,                0.92332,                0.87748,                0.92869,                 0.5994,                 1.2555,                0.75172,                 1.4478,               0.009901,               0.009901,               0.009901
                     12,                 1.2525,                0.99473,                 1.5391,                0.92617,                0.86581,                0.92627,                0.60778,                 1.2219,                0.73008,                 1.4432,                0.00989,                0.00989,                0.00989
                     13,                 1.2417,                0.97901,                 1.5397,                0.90874,                0.85562,                0.91586,                0.60233,                 1.2138,                0.72625,                 1.4301,               0.009879,               0.009879,               0.009879
                     14,                 1.2301,                0.95136,                 1.5265,                0.91631,                0.86835,                0.92643,                 0.6069,                 1.2229,                0.72065,                 1.4308,               0.009868,               0.009868,               0.009868
                     15,                 1.2145,                0.94135,                 1.5055,                0.93579,                0.87139,                0.93552,                 0.6232,                 1.1785,                0.69008,                 1.3997,               0.009857,               0.009857,               0.009857
                     16,                 1.1984,                0.92977,                 1.4985,                0.91475,                0.88532,                 0.9324,                0.62366,                  1.181,                0.68114,                 1.3934,               0.009846,               0.009846,               0.009846
                     17,                 1.2001,                0.91883,                 1.4947,                0.90153,                0.87724,                0.93105,                0.61407,                 1.2044,                0.70159,                 1.3994,               0.009835,               0.009835,               0.009835
                     18,                 1.2028,                0.90569,                 1.4985,                0.89714,                0.86905,                0.92862,                0.60131,                 1.2021,                0.71078,                 1.4127,               0.009824,               0.009824,               0.009824
                     19,                 1.1749,                0.88314,                 1.4748,                0.87808,                 0.8794,                0.92336,                0.60811,                 1.2222,                0.68673,                 1.4137,               0.009813,               0.009813,               0.009813
                     20,                 1.1704,                0.86938,                 1.4751,                0.90798,                0.88832,                0.94203,                0.64796,                 1.1252,                0.64642,                   1.35,               0.009802,               0.009802,               0.009802
                     21,                 1.1597,                0.86267,                 1.4635,                0.86993,                0.89664,                0.93487,                 0.6342,                 1.1745,                 0.6587,                  1.365,               0.009791,               0.009791,               0.009791
                     22,                 1.1499,                0.84597,                 1.4591,                0.89823,                0.87585,                0.92957,                0.64407,                 1.1345,                0.64781,                  1.353,                0.00978,                0.00978,                0.00978
                     23,                 1.1385,                0.84001,                 1.4503,                0.90709,                0.87934,                0.93435,                0.63839,                 1.1381,                0.66054,                 1.3761,               0.009769,               0.009769,               0.009769
                     24,                 1.1343,                0.84511,                 1.4452,                0.92556,                0.87621,                0.93702,                0.62797,                  1.158,                0.65151,                 1.3648,               0.009758,               0.009758,               0.009758
                     25,                 1.1091,                0.81823,                 1.4329,                0.90338,                0.88696,                0.93758,                0.63699,                 1.1547,                0.64101,                 1.3726,               0.009747,               0.009747,               0.009747
                     26,                 1.1083,                0.81597,                 1.4234,                0.92016,                0.86717,                 0.9345,                0.64033,                 1.1376,                0.63851,                 1.3469,               0.009736,               0.009736,               0.009736
                     27,                 1.1068,                0.82194,                 1.4266,                0.88482,                0.90647,                0.94463,                0.64955,                 1.1505,                0.62899,                 1.3655,               0.009725,               0.009725,               0.009725
                     28,                    1.1,                0.80639,                 1.4187,                0.92143,                0.88555,                 0.9365,                0.64809,                 1.1317,                   0.63,                 1.3445,               0.009714,               0.009714,               0.009714
                     29,                  1.088,                0.79354,                 1.4075,                 0.9263,                0.89606,                0.94979,                0.65058,                 1.1378,                0.61715,                 1.3594,               0.009703,               0.009703,               0.009703
                     30,                 1.0859,                0.78675,                 1.4081,                0.90982,                0.89168,                0.93671,                0.64377,                 1.1312,                0.65117,                 1.3516,               0.009692,               0.009692,               0.009692
                     31,                 1.0763,                0.78467,                 1.4011,                0.92995,                0.90283,                0.94788,                0.64514,                 1.1527,                0.61342,                 1.3678,               0.009681,               0.009681,               0.009681
                     32,                  1.072,                0.78122,                 1.4032,                0.92117,                0.89017,                0.93552,                0.63989,                 1.1521,                0.61698,                 1.3865,                0.00967,                0.00967,                0.00967
                     33,                 1.0572,                0.76513,                 1.3891,                 0.9032,                 0.9185,                0.94784,                0.64276,                 1.1308,                0.62788,                 1.3567,               0.009659,               0.009659,               0.009659
                     34,                 1.0489,                0.75488,                 1.3815,                0.92099,                0.90656,                0.94993,                0.65666,                 1.1128,                0.59513,                 1.3445,               0.009648,               0.009648,               0.009648
                     35,                 1.0452,                 0.7577,                 1.3791,                0.90458,                 0.9091,                  0.952,                0.66365,                 1.1066,                0.59928,                 1.3414,               0.009637,               0.009637,               0.009637
                     36,                 1.0427,                0.75224,                 1.3751,                0.91867,                0.91041,                0.94896,                0.65594,                 1.1111,                 0.5887,                 1.3401,               0.009626,               0.009626,               0.009626
                     37,                 1.0414,                0.75559,                 1.3718,                 0.9168,                0.91156,                0.95325,                0.64794,                 1.1411,                0.60176,                 1.3579,               0.009615,               0.009615,               0.009615
                     38,                 1.0298,                0.74543,                 1.3608,                 0.9187,                0.91679,                0.95549,                0.64648,                 1.1481,                0.59354,                 1.3619,               0.009604,               0.009604,               0.009604
                     39,                 1.0241,                0.72656,                 1.3599,                0.91686,                0.91914,                 0.9501,                0.64654,                 1.1252,                0.60444,                 1.3583,               0.009593,               0.009593,               0.009593
                     40,                 1.0268,                0.73188,                 1.3585,                0.93094,                0.91023,                0.95236,                 0.6532,                 1.1177,                0.60176,                 1.3445,               0.009582,               0.009582,               0.009582
                     41,                  1.019,                0.73394,                 1.3567,                0.89534,                0.89677,                0.93541,                0.64223,                 1.1437,                0.61065,                  1.349,               0.009571,               0.009571,               0.009571
                     42,                 1.0165,                0.72402,                 1.3536,                 0.9079,                0.90536,                0.94101,                0.66006,                 1.0964,                0.57735,                 1.3313,                0.00956,                0.00956,                0.00956
                     43,                 1.0111,                0.72526,                 1.3446,                0.90714,                0.90518,                0.94829,                0.65802,                 1.1293,                 0.5826,                 1.3476,               0.009549,               0.009549,               0.009549
                     44,                0.99837,                0.70627,                 1.3365,                0.91158,                0.91445,                0.95177,                0.65012,                 1.1246,                0.58831,                 1.3481,               0.009538,               0.009538,               0.009538
                     45,                0.99726,                0.70876,                 1.3388,                0.91617,                0.90873,                0.94371,                0.65199,                   1.12,                0.57496,                 1.3534,               0.009527,               0.009527,               0.009527
                     46,                 1.0021,                 0.7193,                 1.3434,                0.93061,                 0.9105,                0.95094,                0.65889,                 1.1373,                0.57881,                 1.3658,               0.009516,               0.009516,               0.009516
                     47,                0.98176,                0.69755,                 1.3256,                0.92068,                0.91146,                0.95291,                0.66045,                 1.1185,                0.58017,                 1.3413,               0.009505,               0.009505,               0.009505
                     48,                0.99574,                0.69975,                 1.3338,                0.93295,                0.92148,                 0.9566,                0.65755,                 1.1178,                0.56518,                 1.3485,               0.009494,               0.009494,               0.009494
                     49,                0.99195,                0.69335,                  1.329,                0.92322,                0.90414,                0.94871,                0.66063,                  1.092,                0.58782,                 1.3394,               0.009483,               0.009483,               0.009483
                     50,                0.97609,                0.68584,                 1.3247,                0.93582,                0.91571,                0.95537,                 0.6626,                 1.1053,                0.55636,                 1.3426,               0.009472,               0.009472,               0.009472
                     51,                 0.9666,                0.68742,                  1.313,                0.93094,                0.93123,                0.95912,                0.65499,                 1.1549,                0.55999,                 1.3813,               0.009461,               0.009461,               0.009461
                     52,                0.96752,                0.67098,                 1.3181,                0.91926,                0.92915,                0.95798,                0.65184,                 1.1413,                 0.5722,                  1.356,                0.00945,                0.00945,                0.00945
                     53,                0.97059,                0.67736,                  1.317,                0.92363,                0.90624,                0.94935,                0.65682,                  1.107,                0.55143,                 1.3549,               0.009439,               0.009439,               0.009439
                     54,                0.96518,                0.67175,                 1.3109,                0.93063,                0.91916,                0.95704,                0.66118,                 1.1111,                0.56638,                 1.3465,               0.009428,               0.009428,               0.009428
                     55,                0.94751,                0.66748,                 1.3008,                0.92131,                0.91358,                0.94882,                0.65483,                 1.1086,                0.57749,                 1.3418,               0.009417,               0.009417,               0.009417
